tweet,words_num,lex_div,emojis_num,demoji_text,slangs_num,deslang_text,total_slangs_emojis,deslang_demoji,response,tweet_no_unicode,safety,tweeter,emph,result,jhu,response_ld,jhu_ld,result_ld,tweeter_ld,emph_ld,response_word_num,jhu_word_num,result_word_num,tweeter_word_num,emph_word_num
"amazing how high emotions go once you make subscriptions visible. but paid updates aka ""hidden subscriptions"" cause old app breaks are fine.",22,1.0,0,"amazing how high emotions go once you make subscriptions visible. but paid updates aka ""hidden subscriptions"" cause old app breaks are fine.",2,amazing how high emotions go once you make subscriptions visible but paid updates also known as hidden subscriptions cause old application breaks are fine,2,"amazing how high emotions go once you make subscriptions visible. but paid updates aka ""hidden subscriptions"" cause old app breaks are fine.",  i think it’s just new and unknown. being as transparent as you can some people will pay and the stigma will go away. ,"amazing how high emotions go once you make subscriptions visible. but paid updates aka ""hidden subscriptions"" cause old app breaks are fine.",0,i ' m not sure if i ' m the only one who feels this way .,i agree . i have a few apps that i use frequently and they are fine .,i ' m not sure if i ' m the only one who feels this way .,  i am sorry to hear that . i am sorry to hear that .,0.84,0.5,0.8666666666666667,0.8666666666666667,0.875,24,12,14,14,15
maybe she doesn't do windows. directed her maid to print out classified materials via,15,1.0,0,maybe she does not do windows. directed her maid to print out classified materials via,0,maybe she does not do windows directed her maid to print out classified materials via,0,maybe she doesn't do windows. directed her maid to print out classified materials via,  you are going to have a great career as a after your loses ,maybe she doesn't do windows. directed her maid to print out classified materials via,0,i ' m sure she ' s a good person .,i think she ' s a bit of a liar .,i ' m sure she ' s a good person .,  that is very interesting . i am sure you are very organized .,0.8666666666666667,0.6923076923076923,1.0,1.0,0.9,13,11,8,8,9
could care less about celebs i care abt the mccarthyism against ppl w/ differing opinions &amp; irresponsible blind eye to hrc's crimes,23,0.9545454545454546,0,could care less about celebs i care abt the mccarthyism against ppl w/ differing opinions & irresponsible blind eye to hrc is crimes,2,could care less about celebs i care about the mccarthyism against people w differing opinions amp irresponsible blind eye to hrc is crimes,2,could care less about celebs i care abt the mccarthyism against ppl w/ differing opinions &amp; irresponsible blind eye to hrc's crimes,  . repubs speak of loving democracy and pillage those who they feel are non-believers until it infringes upon their agenda. ,could care less about celebs i care abt the mccarthyism against ppl w/ differing opinions &amp; irresponsible blind eye to hrc's crimes,0,i ' m not saying you should care about her crimes . i ' m saying you should care about the fact that she ' s a criminal .,i agree . i don ' t care about celebrities .,i ' m not saying you should care about her crimes . i ' m saying you should care about the fact that she ' s a criminal .,  i am sorry . i am not sure if i was a kid .,0.9523809523809523,0.6428571428571429,0.72,0.72,0.8888888888888888,20,12,24,24,8
nah you're not the jazz are not that good in my opinion either,14,0.9230769230769232,0,nah you are not the jazz are not that good in my opinion either,1,no you are not the jazz are not that good in my opinion either,1,nah you're not the jazz are not that good in my opinion either,"  i don't get it. all these ""experts"" say their gonna have this great year. i don't see it ",nah you're not the jazz are not that good in my opinion either,0,i ' m not saying they ' re good . i ' m saying they ' re not as good as the jazz .,i ' m not a jazz fan but i ' m not a fan of the jazz either,i ' m not saying they ' re good . i ' m saying they ' re not as good as the jazz .,  i think i am not very good at it .,0.75,0.8181818181818182,0.5789473684210527,0.5789473684210527,0.625,20,9,18,18,16
i just got a press email for a bike lock kickstarter campaign. email said i am getting it because i previously wrote about fashion. 🤔,24,0.8,1,i just got a press email for a bike lock kickstarter campaign. email said i am getting it because i previously wrote about fashion.  thinking face ,0,i just got a press email for a bike lock kickstarter campaign email said i am getting it because i previously wrote about fashion 🤔,1,i just got a press email for a bike lock kickstarter campaign. email said i am getting it because i previously wrote about fashion. ,  apple watch i guess. ,i just got a press email for a bike lock kickstarter campaign. email said i am getting it because i previously wrote about fashion. ,0,i ' m so excited for this !,that ' s awesome ! i ' m sure you ' ll get a lot of good feedback .,i ' m so excited for this !,  i am not sure if i could do that .,0.8333333333333334,0.8181818181818182,1.0,1.0,1.0,4,9,6,6,14
"anyone remember me tweeting before the season saying ""i just don't buy the nyr being bad this year."" desperately trying to find the tweet.",25,0.875,0,"anyone remember me tweeting before the season saying ""i just do not buy the nyr being bad this year."" desperately trying to find the tweet.",0,anyone remember me tweeting before the season saying i just do not buy the nyr being bad this year desperately trying to find the tweet,0,"anyone remember me tweeting before the season saying ""i just don't buy the nyr being bad this year."" desperately trying to find the tweet.","  anybody who thought they would be bad are nuts, but being this good is a bit surprising ","anyone remember me tweeting before the season saying ""i just don't buy the nyr being bad this year."" desperately trying to find the tweet.",0,i ' m not sure i ' m the only one who thinks that .,i think it ' s a good year for the nyr .,i ' m not sure i ' m the only one who thinks that .,  i am sure you are very organized .,0.8421052631578947,0.7777777777777778,0.8461538461538461,0.8461538461538461,1.0,17,7,12,12,10
is it over yet? is it safe yet to come back on the interwebs?,14,0.7857142857142857,0,is it over yet? is it safe yet to come back on the interwebs?,0,is it over yet is it safe yet to come back on the interwebs,0,is it over yet? is it safe yet to come back on the interwebs?,  mostly. lots of debrief a... ,is it over yet? is it safe yet to come back on the interwebs?,0,i ' m not sure . i ' m not sure if it ' s safe .,i think so .,i ' m not sure . i ' m not sure if it ' s safe .,  i am not sure . i am not sure if i could .,0.8571428571428571,0.5384615384615384,0.6923076923076923,0.6923076923076923,1.0,5,11,12,12,3
i'm gonna finish my essay and then go to the gym 😊,12,1.0,1,i am gonna finish my essay and then go to the gym  smiling face with smiling eyes ,1,i am going to finish my essay and then go to the gym 😊,2,i'm gonna finish my essay and then go to the gym ,  lol didn't do any of these ,i'm gonna finish my essay and then go to the gym ,0,i ' m gonna finish my essay and then go to the gym,that sounds like a good plan .,i ' m gonna finish my essay and then go to the gym,  i am not sure if i could do that .,0.875,0.8181818181818182,1.0,1.0,1.0,7,9,12,12,6
"in this case, trump is right. the fbi investigation was rigged.no grand jury; immunity deals; fbi destroys evidence.",19,0.8888888888888888,0,"in this case, trump is right. the fbi investigation was rigged.no grand jury; immunity deals; fbi destroys evidence.",0,in this case trump is right the fbi investigation was riggedno grand jury immunity deals fbi destroys evidence,0,"in this case, trump is right. the fbi investigation was rigged.no grand jury; immunity deals; fbi destroys evidence.","  and after giving her skates obama says trunp ""whines"". if fbi was rolled it is rigged...and was rigged vs bernie. serious ","in this case, trump is right. the fbi investigation was rigged.no grand jury; immunity deals; fbi destroys evidence.",0,the fbi is not rigged . they are just not doing their job .,i ' m not sure what you ' re talking about .,the fbi is not rigged . they are just not doing their job .,  i think i am not very good at it .,0.8695652173913043,0.8181818181818182,0.8461538461538461,0.8461538461538461,1.0,22,9,12,12,9
pennsylvania is focused! election day is 3 weeks away!,9,0.8888888888888888,0,pennsylvania is focused! election day is 3 weeks away!,0,pennsylvania is focused election day is 3 weeks away,0,pennsylvania is focused! election day is 3 weeks away!,  please vote and retweet! ,pennsylvania is focused! election day is 3 weeks away!,0,i ' m so excited ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,i ' m so excited ! i ' m so excited !,i ' m so excited ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,  i am sure you are . i am not sure if i could do that .,0.8333333333333334,0.625,1.0,1.0,0.5555555555555556,4,14,4,4,8
"ha! that was recorded in 2002 years before it was released. had 4 tracks, a hand held microphone, &amp; good weed",21,0.9523809523809524,0,"ha! that was recorded in 2002 years before it was released. had 4 tracks, a hand held microphone, & good weed",0,ha that was recorded in 2002 years before it was released had 4 tracks a hand held microphone amp good weed,0,"ha! that was recorded in 2002 years before it was released. had 4 tracks, a hand held microphone, &amp; good weed",  some of the stuff on that english panther release was even recorded in late 90s haha. haven't listened to it ,"ha! that was recorded in 2002 years before it was released. had 4 tracks, a hand held microphone, &amp; good weed",0,i ' m sure it was . i ' m sure it was .,i ' m not sure what you ' re talking about .,i ' m sure it was . i ' m sure it was .,  i am not sure if i was a kid .,0.9545454545454546,0.7272727272727273,0.45454545454545453,0.45454545454545453,1.0,21,9,10,10,9
thanks for the invite tonight..... 🙄🙄,5,1.0,1,thanks for the invite tonight.....  face with rolling eyes  face with rolling eyes ,0,thanks for the invite tonight 🙄🙄,1,thanks for the invite tonight..... ,  they planned it for me:((( blame nat ,thanks for the invite tonight..... ,0,you ' re welcome !,you ' re welcome .,you ' re welcome !,  i am so glad i am not a good person .,0.8888888888888888,0.75,1.0,1.0,1.0,7,10,3,3,3
"the world turned upside down: hillary clinton defends reagan and wants to stand up to the russians. the gop candidate, not so much.",23,0.8695652173913043,0,"the world turned upside down: hillary clinton defends reagan and wants to stand up to the russians. the gop candidate, not so much.",0,the world turned upside down hillary clinton defends reagan and wants to stand up to the russians the gop candidate not so much,0,"the world turned upside down: hillary clinton defends reagan and wants to stand up to the russians. the gop candidate, not so much.","  no, classic hillary bs talk. bo/hc made russia powerful, made mullahs powerful, allied them together- ditto nk. ","the world turned upside down: hillary clinton defends reagan and wants to stand up to the russians. the gop candidate, not so much.",0,"i ' m not sure what you mean by "" stand up to the russians "" .",i don ' t think it ' s fair to say that the gop candidate is not a bit much .,"i ' m not sure what you mean by "" stand up to the russians "" .",  i am sorry to hear that . i am not sure if i was a kid .,0.8421052631578947,0.7058823529411765,0.9375,0.9375,1.0,18,15,13,13,18
ty chef for that delicious episode on how to make spaghetti 😛😂,11,1.0,2,ty chef for that delicious episode on how to make spaghetti  face with tongue  face with tears of joy ,1,thank you chef for that delicious episode on how to make spaghetti 😛😂,3,ty chef for that delicious episode on how to make spaghetti ,  ofc catch me on the food network one day hahaha ,ty chef for that delicious episode on how to make spaghetti ,0,thanks for watching !,i love that show !,thanks for watching !,  i love spaghetti . . . i am not a fan of it .,0.9166666666666666,0.8333333333333334,1.0,1.0,1.0,10,10,3,3,4
started watching on youtube. haven't finished but i'm seeing your point.,13,1.0,0,started watching on youtube. have not finished but i am seeing your point.,0,started watching on youtube have not finished but i am seeing your point,0,started watching on youtube. haven't finished but i'm seeing your point.,"  at one point trump, hillary, and moderator all talked over each other for 10+ seconds. i was appalled. ",started watching on youtube. haven't finished but i'm seeing your point.,0,i ' m watching it now . it ' s good .,what is your favorite show ?,i ' m watching it now . it ' s good .,  i am not sure if i could have a job .,0.95,0.8333333333333334,0.8888888888888888,0.8888888888888888,1.0,18,10,8,8,5
"just seen this on facebook, thought it was a great little read.",12,1.0,0,"just seen this on facebook, thought it was a great little read.",0,just seen this on facebook thought it was a great little read,0,"just seen this on facebook, thought it was a great little read.",  i'm glad you shared this ,"just seen this on facebook, thought it was a great little read.",0,thanks ! i ' m glad you liked it .,i ' m glad you enjoyed it .,thanks ! i ' m glad you liked it .,  i am not sure if i was a kid .,0.8571428571428571,0.7272727272727273,1.0,1.0,1.0,6,9,7,7,6
"courtney kube reporting from the pentagon on this issue: advance notice helps civilians to prepare, not just isis.",18,1.0,0,"courtney kube reporting from the pentagon on this issue: advance notice helps civilians to prepare, not just isis.",0,courtney kube reporting from the pentagon on this issue advance notice helps civilians to prepare not just isis,0,"courtney kube reporting from the pentagon on this issue: advance notice helps civilians to prepare, not just isis.",  kube: advance notice of the offensive could potentially bolster resistance fighters inside the country. ,"courtney kube reporting from the pentagon on this issue: advance notice helps civilians to prepare, not just isis.",0,i ' m sure the pentagon is doing a great job of preparing for this .,thank you for the information .,i ' m sure the pentagon is doing a great job of preparing for this .,  i am not sure if i could do that .,0.875,0.8181818181818182,0.9333333333333333,0.9333333333333333,1.0,14,9,14,14,5
that is decidedly not what you've been doing. wanting to tear down a working system is unstable.,18,0.8823529411764706,0,that is decidedly not what you have been doing. wanting to tear down a working system is unstable.,0,that is decidedly not what you have been doing wanting to tear down a working system is unstable,0,that is decidedly not what you've been doing. wanting to tear down a working system is unstable.,"  and complaining when someone points that out is, in fact, whiny. ",that is decidedly not what you've been doing. wanting to tear down a working system is unstable.,0,i ' m not saying tear down the system . i ' m saying that the system is broken .,i ' m not sure what you mean .,i ' m not saying tear down the system . i ' m saying that the system is broken .,  i am sorry to hear that . i am not sure if i was a kid .,0.9230769230769231,0.7058823529411765,0.6470588235294118,0.6470588235294118,1.0,11,15,16,16,7
. i'm pretty sure chris wallace got the remaining 6%.,10,1.0,0,. i am pretty sure chris wallace got the remaining 6%.,0,i am pretty sure chris wallace got the remaining 6,0,. i'm pretty sure chris wallace got the remaining 6%.,  maybe chris wallace and mike wallace's split the difference. ,. i'm pretty sure chris wallace got the remaining 6%.,0,i ' m pretty sure chris wallace got the remaining 6 % .,i ' m pretty sure chris wallace got the remaining 6 % .,i ' m pretty sure chris wallace got the remaining 6 % .,  i am sorry to hear that . i am not sure if i was a kid .,0.9090909090909091,0.7058823529411765,1.0,1.0,1.0,10,15,10,10,10
"even though is a disaster and my own husband (who has raped multiple women) has admitted that, i still stand for it! no change!",24,0.9583333333333334,0,"even though is a disaster and my own husband (who has raped multiple women) has admitted that, i still stand for it! no change!",0,even though is a disaster and my own husband who has raped multiple women has admitted that i still stand for it no change,0,"even though is a disaster and my own husband (who has raped multiple women) has admitted that, i still stand for it! no change!",  you can eat my children for lunch! i love you!!! ,"even though is a disaster and my own husband (who has raped multiple women) has admitted that, i still stand for it! no change!",1,i ' m sorry to hear that . i ' m sure you ' re a great man .,that is so sad . i am so sorry .,that is so sad . i am so sorry .,  i am sure you are . i am not sure if i was a kid .,0.8333333333333334,0.5625,0.7777777777777778,0.8666666666666667,0.7777777777777778,10,14,8,14,8
"contempt for hillary...sure i despise her ,her lies and what she represents: corruption. apparently stuff you like..",18,0.9411764705882352,0,"contempt for hillary...sure i despise her ,her lies and what she represents: corruption. apparently stuff you like..",0,contempt for hillarysure i despise her her lies and what she represents corruption apparently stuff you like,0,"contempt for hillary...sure i despise her ,her lies and what she represents: corruption. apparently stuff you like..",  despise? you can't despise all those things and support trump. so stop the high act. ,"contempt for hillary...sure i despise her ,her lies and what she represents: corruption. apparently stuff you like..",0,i ' m not contempt for her . i ' m contempt for the people who voted for her .,i don ' t like her either .,i ' m not contempt for her . i ' m contempt for the people who voted for her .,  i am not sure . i am not a big fan of it .,0.8823529411764706,0.7142857142857143,0.6470588235294118,0.6470588235294118,1.0,16,12,16,16,6
how big the state of california is compared to the east coast,12,0.9166666666666666,0,how big the state of california is compared to the east coast,0,how big the state of california is compared to the east coast,0,how big the state of california is compared to the east coast,  then all my road trips will hopefully prepare me for next year. ,how big the state of california is compared to the east coast,0,i ' m not sure if you ' re being sarcastic or not .,i ' m not sure about that . i ' ve never been there .,i ' m not sure if you ' re being sarcastic or not .,  i am not sure if i could .,0.9285714285714286,0.7777777777777778,0.9166666666666666,0.9166666666666666,0.8333333333333334,12,7,11,11,11
"if ur skinny, pls stop saying you're fat cause you make girls with a little extra chub appear obese",20,1.0,0,"if ur skinny, pls stop saying you are fat cause you make girls with a little extra chub appear obese",2,if your skinny please stop saying you are fat cause you make girls with a little extra chub appear obese,2,"if ur skinny, pls stop saying you're fat cause you make girls with a little extra chub appear obese",  for years i thought i was fat until i realized that hips and thick thighs arent ugly and that some girls are really brainwashed by media ,"if ur skinny, pls stop saying you're fat cause you make girls with a little extra chub appear obese",1,i ' m not fat i ' m just not fat,"i ' m not skinny , i ' m just not as fat as you .","i ' m not skinny , i ' m just not as fat as you .",  i see . i am not sure if i was a kid .,0.7857142857142857,0.6923076923076923,0.6923076923076923,0.5555555555555556,0.6923076923076923,26,11,12,9,12
(hint: he's lying on *every* issue. 😉),7,1.0,1,(hint: he is lying on *every* issue.  winking face ),0,hint he is lying on every issue 😉,1,(hint: he's lying on *every* issue. ),  hint:cnn &amp; most media in crooked hillary's pocket. we don't care or believe u ,(hint: he's lying on *every* issue. ),0,he ' s lying on every issue .,he ' s lying on every issue .,he ' s lying on every issue .,  i am sorry . i am not sure if i was a kid .,0.9375,0.6428571428571429,1.0,1.0,1.0,17,12,6,6,6
anyways good night! loved debating w and will pray fo u🙏🏼,11,1.0,1,anyways good night! loved debating w and will pray fo u folded hands: medium-light skin tone ,1,anyways good night loved debating w and will pray f**k off u🙏🏼,2,anyways good night! loved debating w and will pray fo u,  uh huh you do that ,anyways good night! loved debating w and will pray fo u,0,i ' m praying for you too .,i ' m glad you had a good debate with me .,i ' m praying for you too .,  i am sure you are . i am not sure if i was a kid .,0.8571428571428571,0.5625,1.0,1.0,1.0,5,14,6,6,10
i love my new hat💘,5,1.0,1,i love my new hat heart with arrow ,0,i love my new hat💘,1,i love my new hat,  where did u buy it ,i love my new hat,0,i love you too ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,what kind of hat is it ?,i love you too ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,  i am not sure if i was a kid .,0.8571428571428571,0.7272727272727273,1.0,1.0,1.0,5,9,4,4,6
"hillary is pedestrian and over-programmed, but never made a notable mistake across 3 debates",15,1.0,0,"hillary is pedestrian and over-programmed, but never made a notable mistake across 3 debates",0,hillary is pedestrian and overprogrammed but never made a notable mistake across 3 debates,0,"hillary is pedestrian and over-programmed, but never made a notable mistake across 3 debates",  are you kidding how bout lying about being in obama admn with red line statement n your a scholar ,"hillary is pedestrian and over-programmed, but never made a notable mistake across 3 debates",0,she ' s a liar and a liar .,she is a terrible candidate .,she ' s a liar and a liar .,  i am sorry . i am not sure if i was a kid .,0.9523809523809523,0.6428571428571429,0.75,0.75,1.0,19,12,7,7,5
