,Unnamed: 0,tweet,words_num,lex_div,emojis_num,demoji_text,slangs_num,deslang_text,total_slangs_emojis,deslang_demoji
10,10,gente acabei de ver o cachecol 😂😂 nós somos fodas! wendigo all over again,13,1.0,1,gente acabei de ver o cachecol  face with tears of joy  face with tears of joy  nós somos fodas! wendigo all over again,1,gente acabei de ver Oh cachecol 😂😂 nós somos fodas wendigo all over again,2,gente acabei de ver Oh cachecol face with tears of joy face with tears of joy nós somos fodas wendigo all over again
11,11,classic to try and spin an innocent protest into making it seem like he was going to be assassinated.,19,0.8947368421052632,0,classic to try and spin an innocent protest into making it seem like he was going to be assassinated.,0,classic to try and spin an innocent protest into making it seem like he was going to be assassinated,0,classic to try and spin an innocent protest into making it seem like he was going to be assassinated
12,12,‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton,15,0.9285714285714286,0,‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton,0,‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton,0,‘she’s a great role model’ sturgeon breaks protocol to urge americans to back clinton
13,13,i would talk your mom into swallowing instead.,8,1.0,0,i would talk your mom into swallowing instead.,0,i would talk your mom into swallowing instead,0,i would talk your mom into swallowing instead
14,14,i just saw this. this is a good tweet.,9,0.8888888888888888,0,i just saw this. this is a good tweet.,0,i just saw this this is a good tweet,0,i just saw this this is a good tweet
15,15,"amazing how high emotions go once you make subscriptions visible. but paid updates aka ""hidden subscriptions"" cause old app breaks are fine.",22,1.0,0,"amazing how high emotions go once you make subscriptions visible. but paid updates aka ""hidden subscriptions"" cause old app breaks are fine.",2,amazing how high emotions go once you make subscriptions visible but paid updates also known as hidden subscriptions cause old application breaks are fine,2,amazing how high emotions go once you make subscriptions visible but paid updates also known as hidden subscriptions cause old application breaks are fine
16,16,maybe she doesn't do windows. directed her maid to print out classified materials via,15,1.0,0,maybe she does not do windows. directed her maid to print out classified materials via,0,maybe she does not do windows directed her maid to print out classified materials via,0,maybe she does not do windows directed her maid to print out classified materials via
17,17,could care less about celebs i care abt the mccarthyism against ppl w/ differing opinions &amp; irresponsible blind eye to hrc's crimes,23,0.9545454545454546,0,could care less about celebs i care abt the mccarthyism against ppl w/ differing opinions & irresponsible blind eye to hrc is crimes,2,could care less about celebs i care about the mccarthyism against people w differing opinions amp irresponsible blind eye to hrc is crimes,2,could care less about celebs i care about the mccarthyism against people w differing opinions irresponsible blind eye to hrc is crimes
18,18,nah you're not the jazz are not that good in my opinion either,14,0.9230769230769232,0,nah you are not the jazz are not that good in my opinion either,1,no you are not the jazz are not that good in my opinion either,1,no you are not the jazz are not that good in my opinion either
19,19,i just got a press email for a bike lock kickstarter campaign. email said i am getting it because i previously wrote about fashion. 🤔,24,0.8,1,i just got a press email for a bike lock kickstarter campaign. email said i am getting it because i previously wrote about fashion.  thinking face ,0,i just got a press email for a bike lock kickstarter campaign email said i am getting it because i previously wrote about fashion 🤔,1,i just got a press email for a bike lock kickstarter campaign email said i am getting it because i previously wrote about fashion thinking face
20,20,"anyone remember me tweeting before the season saying ""i just don't buy the nyr being bad this year."" desperately trying to find the tweet.",25,0.875,0,"anyone remember me tweeting before the season saying ""i just do not buy the nyr being bad this year."" desperately trying to find the tweet.",0,anyone remember me tweeting before the season saying i just do not buy the nyr being bad this year desperately trying to find the tweet,0,anyone remember me tweeting before the season saying i just do not buy the nyr being bad this year desperately trying to find the tweet
21,21,is it over yet? is it safe yet to come back on the interwebs?,14,0.7857142857142857,0,is it over yet? is it safe yet to come back on the interwebs?,0,is it over yet is it safe yet to come back on the interwebs,0,is it over yet is it safe yet to come back on the interwebs
22,22,i'm gonna finish my essay and then go to the gym 😊,12,1.0,1,i am gonna finish my essay and then go to the gym  smiling face with smiling eyes ,1,i am going to finish my essay and then go to the gym 😊,2,i am going to finish my essay and then go to the gym smiling face with smiling eyes
23,23,"in this case, trump is right. the fbi investigation was rigged.no grand jury; immunity deals; fbi destroys evidence.",19,0.8888888888888888,0,"in this case, trump is right. the fbi investigation was rigged.no grand jury; immunity deals; fbi destroys evidence.",0,in this case trump is right the fbi investigation was riggedno grand jury immunity deals fbi destroys evidence,0,in this case trump is right the fbi investigation was riggedno grand jury immunity deals fbi destroys evidence
24,24,pennsylvania is focused! election day is 3 weeks away!,9,0.8888888888888888,0,pennsylvania is focused! election day is 3 weeks away!,0,pennsylvania is focused election day is 3 weeks away,0,pennsylvania is focused election day is 3 weeks away
25,25,"ha! that was recorded in 2002 years before it was released. had 4 tracks, a hand held microphone, &amp; good weed",21,0.9523809523809524,0,"ha! that was recorded in 2002 years before it was released. had 4 tracks, a hand held microphone, & good weed",0,ha that was recorded in 2002 years before it was released had 4 tracks a hand held microphone amp good weed,0,ha that was recorded in 2002 years before it was released had 4 tracks a hand held microphone good weed
26,26,thanks for the invite tonight..... 🙄🙄,5,1.0,1,thanks for the invite tonight.....  face with rolling eyes  face with rolling eyes ,0,thanks for the invite tonight 🙄🙄,1,thanks for the invite tonight face with rolling eyes face with rolling eyes
27,27,"the world turned upside down: hillary clinton defends reagan and wants to stand up to the russians. the gop candidate, not so much.",23,0.8695652173913043,0,"the world turned upside down: hillary clinton defends reagan and wants to stand up to the russians. the gop candidate, not so much.",0,the world turned upside down hillary clinton defends reagan and wants to stand up to the russians the gop candidate not so much,0,the world turned upside down hillary clinton defends reagan and wants to stand up to the russians the gop candidate not so much
28,28,ty chef for that delicious episode on how to make spaghetti 😛😂,11,1.0,2,ty chef for that delicious episode on how to make spaghetti  face with tongue  face with tears of joy ,1,thank you chef for that delicious episode on how to make spaghetti 😛😂,3,thank you chef for that delicious episode on how to make spaghetti face with tongue face with tears of joy
29,29,started watching on youtube. haven't finished but i'm seeing your point.,13,1.0,0,started watching on youtube. have not finished but i am seeing your point.,0,started watching on youtube have not finished but i am seeing your point,0,started watching on youtube have not finished but i am seeing your point
30,30,"just seen this on facebook, thought it was a great little read.",12,1.0,0,"just seen this on facebook, thought it was a great little read.",0,just seen this on facebook thought it was a great little read,0,just seen this on facebook thought it was a great little read
31,31,"courtney kube reporting from the pentagon on this issue: advance notice helps civilians to prepare, not just isis.",18,1.0,0,"courtney kube reporting from the pentagon on this issue: advance notice helps civilians to prepare, not just isis.",0,courtney kube reporting from the pentagon on this issue advance notice helps civilians to prepare not just isis,0,courtney kube reporting from the pentagon on this issue advance notice helps civilians to prepare not just isis
32,32,that is decidedly not what you've been doing. wanting to tear down a working system is unstable.,18,0.8823529411764706,0,that is decidedly not what you have been doing. wanting to tear down a working system is unstable.,0,that is decidedly not what you have been doing wanting to tear down a working system is unstable,0,that is decidedly not what you have been doing wanting to tear down a working system is unstable
33,33,. i'm pretty sure chris wallace got the remaining 6%.,10,1.0,0,. i am pretty sure chris wallace got the remaining 6%.,0,i am pretty sure chris wallace got the remaining 6,0,i am pretty sure chris wallace got the remaining 6
34,34,"even though is a disaster and my own husband (who has raped multiple women) has admitted that, i still stand for it! no change!",24,0.9583333333333334,0,"even though is a disaster and my own husband (who has raped multiple women) has admitted that, i still stand for it! no change!",0,even though is a disaster and my own husband who has raped multiple women has admitted that i still stand for it no change,0,even though is a disaster and my own husband who has raped multiple women has admitted that i still stand for it no change
35,35,"contempt for hillary...sure i despise her ,her lies and what she represents: corruption. apparently stuff you like..",18,0.9411764705882352,0,"contempt for hillary...sure i despise her ,her lies and what she represents: corruption. apparently stuff you like..",0,contempt for hillarysure i despise her her lies and what she represents corruption apparently stuff you like,0,contempt for hillarysure i despise her her lies and what she represents corruption apparently stuff you like
36,36,how big the state of california is compared to the east coast,12,0.9166666666666666,0,how big the state of california is compared to the east coast,0,how big the state of california is compared to the east coast,0,how big the state of california is compared to the east coast
37,37,"if ur skinny, pls stop saying you're fat cause you make girls with a little extra chub appear obese",20,1.0,0,"if ur skinny, pls stop saying you are fat cause you make girls with a little extra chub appear obese",2,if your skinny please stop saying you are fat cause you make girls with a little extra chub appear obese,2,if your skinny please stop saying you are fat cause you make girls with a little extra chub appear obese
38,38,(hint: he's lying on *every* issue. 😉),7,1.0,1,(hint: he is lying on *every* issue.  winking face ),0,hint he is lying on every issue 😉,1,hint he is lying on every issue winking face
39,39,anyways good night! loved debating w and will pray fo u🙏🏼,11,1.0,1,anyways good night! loved debating w and will pray fo u folded hands: medium-light skin tone ,1,anyways good night loved debating w and will pray f**k off u🙏🏼,2,anyways good night loved debating w and will pray f**k off you folded hands mediumlight skin tone
40,40,i love my new hat💘,5,1.0,1,i love my new hat heart with arrow ,0,i love my new hat💘,1,i love my new hat heart with arrow
41,41,"hillary is pedestrian and over-programmed, but never made a notable mistake across 3 debates",15,1.0,0,"hillary is pedestrian and over-programmed, but never made a notable mistake across 3 debates",0,hillary is pedestrian and overprogrammed but never made a notable mistake across 3 debates,0,hillary is pedestrian and overprogrammed but never made a notable mistake across 3 debates
42,42,"when we are experiencing fear, anxiety, and/or anger (so imagine all three), our ability to empathize takes a hit.",20,1.0,0,"when we are experiencing fear, anxiety, and/or anger (so imagine all three), our ability to empathize takes a hit.",0,when we are experiencing fear anxiety andor anger so imagine all three our ability to empathize takes a hit,0,when we are experiencing fear anxiety andor anger so imagine all three our ability to empathize takes a hit
43,43,words cannot express my excitement for on 💃💃💃 4am baby!!!,9,1.0,1,words cannot express my excitement for on  woman dancing  woman dancing  woman dancing  4am baby!!!,0,words cannot express my excitement for on 💃💃💃 4am baby,1,words cannot express my excitement for on woman dancing woman dancing woman dancing 4am baby
44,44,the facts are incredible too wow,6,1.0,0,the facts are incredible too wow,0,the facts are incredible too wow,0,the facts are incredible too wow
45,45,just landed in ohio. thank you america- i am honored to win the final debate for our movement. it is time to…,22,0.9545454545454546,0,just landed in ohio. thank you america- i am honored to win the final debate for our movement. it is time to…,0,just landed in ohio thank you america i am honored to win the final debate for our movement it is time to…,0,just landed in ohio thank you america i am honored to win the final debate for our movement it is time to…
46,46,you downloaded some weird shit... has never happened to me,10,1.0,0,you downloaded some weird shit... has never happened to me,0,you downloaded some weird shit has never happened to me,0,you downloaded some weird shit has never happened to me
47,47,sure it does. idf ass…,5,1.0,0,sure it does. idf ass…,0,sure it does idf ass…,0,sure it does idf ass…
48,48,consumerism wants us to give up on our individuality and hate ourselves so we're constantly trying to ~be~ something they are sellin to us,25,0.8333333333333334,0,consumerism wants us to give up on our individuality and hate ourselves so we are constantly trying to ~be~ something they are sellin to us,1,consumerism wants us to give up on our individuality and hate ourselves so we are constantly trying to be something they are selling to us,1,consumerism wants us to give up on our individuality and hate ourselves so we are constantly trying to be something they are selling to us
49,49,"sorry, everyone. we've been wrong all this time. fact checking isn't what matters. this guy's anecdotal life exper…",21,0.9444444444444444,0,"sorry, everyone. we have been wrong all this time. fact checking is not what matters. this guy is anecdotal life exper…",0,sorry everyone we have been wrong all this time fact checking is not what matters this guy is anecdotal life exper…,0,sorry everyone we have been wrong all this time fact checking is not what matters this guy is anecdotal life exper…
50,50,unbelievable! hillary told world response time 4 launching nukes! ... by via,11,1.0,0,unbelievable! hillary told world response time 4 launching nukes! ... by via,0,unbelievable hillary told world response time 4 launching nukes by via,0,unbelievable hillary told world response time 4 launching nukes by via
51,51,she handed hillary a debate question ahead of time. bernie supporters care,12,1.0,0,she handed hillary a debate question ahead of time. bernie supporters care,0,she handed hillary a debate question ahead of time bernie supporters care,0,she handed hillary a debate question ahead of time bernie supporters care
52,52,"if by funeral, you mean resurrection, then yes. can't wait to see your hype video praising it",18,1.0,0,"if by funeral, you mean resurrection, then yes. can not wait to see your hype video praising it",0,if by funeral you mean resurrection then yes can not wait to see your hype video praising it,0,if by funeral you mean resurrection then yes can not wait to see your hype video praising it
53,53,poll: who won the final presidential debate?,7,1.0,0,poll: who won the final presidential debate?,0,poll who won the final presidential debate,0,poll who won the final presidential debate
54,54,"therefore, have to trust they will use wisdom and judgement to come to right decisions on unknown unknowns",18,0.8333333333333334,0,"therefore, have to trust they will use wisdom and judgement to come to right decisions on unknown unknowns",0,therefore have to trust they will use wisdom and judgement to come to right decisions on unknown unknowns,0,therefore have to trust they will use wisdom and judgement to come to right decisions on unknown unknowns
55,55,you're a hard man to find when you want to be...,12,0.9090909090909092,0,you are a hard man to find when you want to be...,0,you are a hard man to find when you want to be,0,you are a hard man to find when you want to be
56,56,in honor of tonight's here is 17 year old sam ~acting~ as columbia complete with a sexy corset/sports…,20,1.0,0,in honor of tonight is here is 17 year old sam ~acting~ as columbia complete with a sexy corset/sports…,0,in honor of tonight is here is 17 year old sam acting as columbia complete with a sexy corsetsports…,0,in honor of tonight is here is 17 year old sam acting as columbia complete with a sexy corsetsports…
57,57,this is what happens when a republican nominee can't even hold the line in traditional swing states,18,1.0,0,this is what happens when a republican nominee can not even hold the line in traditional swing states,0,this is what happens when a republican nominee can not even hold the line in traditional swing states,0,this is what happens when a republican nominee can not even hold the line in traditional swing states
58,58,"*wipes tear* guess i'll be doing this for the final time.... ""is this the nx?""",16,0.8666666666666667,0,"*wipes tear* guess i will be doing this for the final time.... ""is this the nx?""",0,wipes tear guess i will be doing this for the final time is this the nx,0,wipes tear guess i will be doing this for the final time is this the nx
59,59,sry i'll take allan lichtmans political science predictions over bought &amp; paid 4 network polls,16,1.0,0,sry i will take allan lichtmans political science predictions over bought & paid 4 network polls,1,sorry i will take allan lichtmans political science predictions over bought amp paid 4 network polls,1,sorry i will take allan lichtmans political science predictions over bought paid 4 network polls
60,60,initial thoughts. seems like a solid idea for a console. i wonder how much of a performance hit going mobile will be?,22,0.9090909090909092,0,initial thoughts. seems like a solid idea for a console. i wonder how much of a performance hit going mobile will be?,0,initial thoughts seems like a solid idea for a console i wonder how much of a performance hit going mobile will be,0,initial thoughts seems like a solid idea for a console i wonder how much of a performance hit going mobile will be
61,61,well for now they nailed it. we may come to find that there's little toads on hamster wheels for a processor and that would be 👎🏻,26,0.9230769230769232,1,well for now they nailed it. we may come to find that there is little toads on hamster wheels for a processor and that would be  thumbs down: light skin tone ,0,well for now they nailed it we may come to find that there is little toads on hamster wheels for a processor and that would be 👎🏻,1,well for now they nailed it we may come to find that there is little toads on hamster wheels for a processor and that would be thumbs down light skin tone
62,62,"thanks for the shout out! to note we're in charleston, sc not nc (we're very proud of our hometown lol)",22,0.95,0,"thanks for the shout out! to note we are in charleston, sc not nc (we are very proud of our hometown lol)",2,thanks for the shout out to note we are in charleston sc not not cool we are very proud of our hometown laughing out loud,2,thanks for the shout out to note we are in charleston sc not not cool we are very proud of our hometown laughing out loud
63,63,"blaming india lets em to feel good, and ignore horrific reality at home.",13,1.0,0,"blaming india lets em to feel good, and ignore horrific reality at home.",1,blaming india lets them to feel good and ignore horrific reality at home,1,blaming india lets them to feel good and ignore horrific reality at home
64,64,how to build a sb winner. need a top 2 unit on either off or def in dvoa. neither side of roster close right now for bucs.,27,0.9629629629629628,0,how to build a sb winner. need a top 2 unit on either off or def in dvoa. neither side of roster close right now for bucs.,1,how to build a sb winner need a top 2 unit on either off or definitely in dvoa neither side of roster close right now for bucs,1,how to build a sb winner need a top 2 unit on either off or definitely in dvoa neither side of roster close right now for bucs
65,65,fancy! co-conspirator in mangano complaint allegedly paid for a massage chair for mangano &amp; limo service for vend…,19,0.8333333333333334,0,fancy! co-conspirator in mangano complaint allegedly paid for a massage chair for mangano & limo service for vend…,0,fancy coconspirator in mangano complaint allegedly paid for a massage chair for mangano amp limo service for vend…,0,fancy coconspirator in mangano complaint allegedly paid for a massage chair for mangano limo service for vend…
66,66,very clear now that uk membership of single market a gateway to indyref2 in scotland. time to dynamite the bridges. they've forced our hand,25,0.9583333333333334,0,very clear now that uk membership of single market a gateway to indyref2 in scotland. time to dynamite the bridges. they have forced our hand,0,very clear now that uk membership of single market a gateway to indyref2 in scotland time to dynamite the bridges they have forced our hand,0,very clear now that uk membership of single market a gateway to indyref2 in scotland time to dynamite the bridges they have forced our hand
67,67,mary grace needs to stop trying to fuck the local priest,11,0.9090909090909092,0,mary grace needs to stop trying to fuck the local priest,0,mary grace needs to stop trying to fuck the local priest,0,mary grace needs to stop trying to fuck the local priest
68,68,it's useless to snort playdough. believe me.,8,1.0,0,it is useless to snort playdough. believe me.,0,it is useless to snort playdough believe me,0,it is useless to snort playdough believe me
69,69,throw this in the mix,5,1.0,0,throw this in the mix,0,throw this in the mix,0,throw this in the mix
70,70,island folks got caribbean magic in their loins.,8,1.0,0,island folks got caribbean magic in their loins.,0,island folks got caribbean magic in their loins,0,island folks got caribbean magic in their loins
71,71,"but, time will tell how her 3 years affects public perception of her... and whether she even stands a chance of winning the office again.",25,0.92,0,"but, time will tell how her 3 years affects public perception of her... and whether she even stands a chance of winning the office again.",0,but time will tell how her 3 years affects public perception of her and whether she even stands a chance of winning the office again,0,but time will tell how her 3 years affects public perception of her and whether she even stands a chance of winning the office again
72,72,on everything i just put my head down and walked back into the office 😂,14,1.0,1,on everything i just put my head down and walked back into the office  face with tears of joy ,0,on everything i just put my head down and walked back into the office 😂,1,on everything i just put my head down and walked back into the office face with tears of joy
73,73,can't wait to see who can be the first to drop the nasty woman ep. ? ? ?,16,0.875,0,can not wait to see who can be the first to drop the nasty woman ep. ? ? ?,0,can not wait to see who can be the first to drop the nasty woman ep,0,can not wait to see who can be the first to drop the nasty woman ep
74,74,"ugh, my cable modem internet is out this morning &amp; now i can't find the dilbert parody i tried &amp; failed to retweet that the app recommended.",28,0.8888888888888888,0,"ugh, my cable modem internet is out this morning & now i can not find the dilbert parody i tried & failed to retweet that the app recommended.",1,ugh my cable modem internet is out this morning amp now i can not find the dilbert parody i tried amp failed to retweet that the application recommended,1,ugh my cable modem internet is out this morning now i can not find the dilbert parody i tried failed to retweet that the application recommended
75,75,my fav is still commie jen,6,1.0,0,my fav is still commie jen,1,my Favorite is still commie jen,1,my Favorite is still commie jen
76,76,"i just saw this on tumblr, and it may be the worst thing i've ever seen.",17,0.9375,0,"i just saw this on tumblr, and it may be the worst thing i have ever seen.",0,i just saw this on tumblr and it may be the worst thing i have ever seen,0,i just saw this on tumblr and it may be the worst thing i have ever seen
77,77,would u take your child's life to save your wife's?? aren't parents suppose to protect their children.,20,0.8823529411764706,0,would u take your child is life to save your wife is?? are not parents suppose to protect their children.,1,would you take your child is life to save your wife is are not parents suppose to protect their children,1,would you take your child is life to save your wife is are not parents suppose to protect their children
78,78,i was distracted and i potted the 8 ball,9,0.8888888888888888,0,i was distracted and i potted the 8 ball,0,i was distracted and i potted the 8 ball,0,i was distracted and i potted the 8 ball
79,79,got offered jeremy maclin for allen robinson. ?,7,1.0,0,got offered jeremy maclin for allen robinson. ?,0,got offered jeremy maclin for allen robinson,0,got offered jeremy maclin for allen robinson
80,80,"wikileaks drops podesta mail drip, drip, drip continues following hillary's eye-crossed disaster debate last night - bye hrc",19,0.8823529411764706,0,"wikileaks drops podesta mail drip, drip, drip continues following hillary is eye-crossed disaster debate last night - bye hrc",0,wikileaks drops podesta mail drip drip drip continues following hillary is eyecrossed disaster debate last night bye hrc,0,wikileaks drops podesta mail drip drip drip continues following hillary is eyecrossed disaster debate last night bye hrc
81,81,false information,2,1.0,0,false information,0,false information,0,false information
82,82,"while ""nintendo switch"" is an accurate name for the product, i got accustomed to calling it ""nx"" and was okay with that being the final name",26,0.8846153846153846,0,"while ""nintendo switch"" is an accurate name for the product, i got accustomed to calling it ""nx"" and was okay with that being the final name",0,while nintendo switch is an accurate name for the product i got accustomed to calling it nx and was okay with that being the final name,0,while nintendo switch is an accurate name for the product i got accustomed to calling it nx and was okay with that being the final name
83,83,it is through the mass percolation of grossly farcical eurocentric lies that allows schools to serve as surrogates of power &amp; suppression.,22,0.9545454545454546,0,it is through the mass percolation of grossly farcical eurocentric lies that allows schools to serve as surrogates of power & suppression.,0,it is through the mass percolation of grossly farcical eurocentric lies that allows schools to serve as surrogates of power amp suppression,0,it is through the mass percolation of grossly farcical eurocentric lies that allows schools to serve as surrogates of power suppression
84,84,and we're off! to phoenix then albuquerque!,8,1.0,0,and we are off! to phoenix then albuquerque!,0,and we are off to phoenix then albuquerque,0,and we are off to phoenix then albuquerque
85,85,it's almost like kanye just realized jay was using him and doesn't need him anymore.,17,0.9333333333333332,0,it is almost like kanye just realized jay was using him and does not need him anymore.,0,it is almost like kanye just realized jay was using him and does not need him anymore,0,it is almost like kanye just realized jay was using him and does not need him anymore
86,86,big scary cve,3,1.0,0,big scary cve,0,big scary cve,0,big scary cve
87,87,terrified that trump will be a challenge to hillary and draw broad support from unions.,15,1.0,0,terrified that trump will be a challenge to hillary and draw broad support from unions.,0,terrified that trump will be a challenge to hillary and draw broad support from unions,0,terrified that trump will be a challenge to hillary and draw broad support from unions
88,88,"in australia... driving the coastline, reminded of the beauty found throughout the world &amp; renewing my commitment t…",18,0.8888888888888888,0,"in australia... driving the coastline, reminded of the beauty found throughout the world & renewing my commitment t…",0,in australia driving the coastline reminded of the beauty found throughout the world amp renewing my commitment t…,0,in australia driving the coastline reminded of the beauty found throughout the world renewing my commitment t…
89,89,i want that deep inside of me.,7,1.0,0,i want that deep inside of me.,0,i want that deep inside of me,0,i want that deep inside of me
90,90,i just ate turkey :o,5,1.0,0,i just ate turkey :o,1,i just ate turkey Oh,1,i just ate turkey Oh
91,91,"moderator: hillary paid $225,000 by a brazilian bank for a speech that called for “open borders.” that’s a quote!",21,0.8421052631578947,0,"moderator: hillary paid $225,000 by a brazilian bank for a speech that called for “open borders.” that’s a quote!",0,moderator hillary paid 225000 by a brazilian bank for a speech that called for “open borders” that’s a quote,0,moderator hillary paid 225000 by a brazilian bank for a speech that called for “open borders” that’s a quote
92,92,"awesome! the mothers of the movement won't be around to see the effects of it in 20-30 years only we will, congrats bro",25,0.8695652173913043,0,"awesome! the mothers of the movement will not be around to see the effects of it in 20-30 years only we will, congrats bro",2,awesome the mothers of the movement will not be around to see the effects of it in 2030 years only we will congratulations brother,2,awesome the mothers of the movement will not be around to see the effects of it in 2030 years only we will congratulations brother
93,93,we build apps remotely!our portfolio ☞ let’s talk :) email to ☞ leads.com ☎ (212) 209 1537,16,0.9375,1,we build apps remotely!our portfolio ☞ let’s talk :) email to ☞ leads.com  telephone  (212) 209 1537,0,we build apps remotelyour portfolio ☞ let’s talk email to ☞ leadscom ☎ 212 209 1537,1,we build apps remotelyour portfolio ☞ let’s talk email to ☞ leadscom telephone 212 209 1537
94,94,want access to crooked hillary? don't forget - it's going to cost you!,14,0.9166666666666666,0,want access to crooked hillary? do not forget - it is going to cost you!,0,want access to crooked hillary do not forget it is going to cost you,0,want access to crooked hillary do not forget it is going to cost you
95,95,to livestream my concert tonight or to not livestream my concert tonight?,12,0.5833333333333334,0,to livestream my concert tonight or to not livestream my concert tonight?,0,to livestream my concert tonight or to not livestream my concert tonight,0,to livestream my concert tonight or to not livestream my concert tonight
96,96,i feel like it did make an impact. just might not be enough for this election (unless some really juicy stuff gets leaked),23,1.0,0,i feel like it did make an impact. just might not be enough for this election (unless some really juicy stuff gets leaked),0,i feel like it did make an impact just might not be enough for this election unless some really juicy stuff gets leaked,0,i feel like it did make an impact just might not be enough for this election unless some really juicy stuff gets leaked
97,97,obama says his departure may fix what ails obamacare,9,1.0,0,obama says his departure may fix what ails obamacare,0,obama says his departure may fix what ails obamacare,0,obama says his departure may fix what ails obamacare
98,98,how do you find that on properties?,7,1.0,0,how do you find that on properties?,0,how do you find that on properties,0,how do you find that on properties
99,99,does this work?,3,1.0,0,does this work?,0,does this work,0,does this work
100,100,if you compare apples to apples it looks like this:,10,0.9,0,if you compare apples to apples it looks like this:,0,if you compare apples to apples it looks like this,0,if you compare apples to apples it looks like this
101,101,"today i'm starting a new job at . it wouldn't be a new job without a blog post, would it? ✍️",21,0.75,1,"today i am starting a new job at . it would not be a new job without a blog post, would it?  writing hand ",1,today i am starting a new job at it would not be a new job without a web log post would it ✍️,2,today i am starting a new job at it would not be a new job without a web log post would it writing hand
102,102,i can't make any sense of it. are there similar examples out there to compare this theory to?,19,0.8888888888888888,0,i can not make any sense of it. are there similar examples out there to compare this theory to?,0,i can not make any sense of it are there similar examples out there to compare this theory to,0,i can not make any sense of it are there similar examples out there to compare this theory to
103,103,yes finally i can say it yes.,7,0.8571428571428571,0,yes finally i can say it yes.,0,yes finally i can say it yes,0,yes finally i can say it yes
104,104,7th &amp; bryant was closed until a few min ago due to a suspicious pkg. hoy! jamba's open now.,20,0.9473684210526316,0,7th & bryant was closed until a few min ago due to a suspicious pkg. hoy! jamba is open now.,1,7th amp bryant was closed until a few minute ago due to a suspicious pkg hoy jamba is open now,1,7th bryant was closed until a few minute ago due to a suspicious pkg hoy jamba is open now
105,105,"i only rate as a ""mauvais homme,"" which doesn't sound dastardly enough.",13,1.0,0,"i only rate as a ""mauvais homme,"" which does not sound dastardly enough.",0,i only rate as a mauvais homme which does not sound dastardly enough,0,i only rate as a mauvais homme which does not sound dastardly enough
106,106,this is as close as the news media is allowed to get to the scene of a fatal fire northeast of weeping water in rur…,25,0.8,0,this is as close as the news media is allowed to get to the scene of a fatal fire northeast of weeping water in rur…,0,this is as close as the news media is allowed to get to the scene of a fatal fire northeast of weeping water in rur…,0,this is as close as the news media is allowed to get to the scene of a fatal fire northeast of weeping water in rur…
