,tweet,words_num,lex_div,emojis_num,demoji_text,slangs_num,deslang_text,total_slangs_emojis
25,"ha! that was recorded in 2002 years before it was released. had 4 tracks, a hand held microphone, &amp; good weed",21,0.9523809523809523,0,"ha! that was recorded in 2002 years before it was released. had 4 tracks, a hand held microphone, & good weed",0,ha that was recorded in 2002 years before it was released had 4 tracks a hand held microphone amp good weed,0
26,thanks for the invite tonight..... 🙄🙄,5,1.0,1,thanks for the invite tonight.....  face with rolling eyes  face with rolling eyes ,0,thanks for the invite tonight 🙄🙄,1
27,"the world turned upside down: hillary clinton defends reagan and wants to stand up to the russians. the gop candidate, not so much.",23,0.8695652173913043,0,"the world turned upside down: hillary clinton defends reagan and wants to stand up to the russians. the gop candidate, not so much.",0,the world turned upside down hillary clinton defends reagan and wants to stand up to the russians the gop candidate not so much,0
28,ty chef for that delicious episode on how to make spaghetti 😛😂,11,1.0,2,ty chef for that delicious episode on how to make spaghetti  face with tongue  face with tears of joy ,1,thank you chef for that delicious episode on how to make spaghetti 😛😂,3
29,started watching on youtube. haven't finished but i'm seeing your point.,13,1.0,0,started watching on youtube. have not finished but i am seeing your point.,0,started watching on youtube have not finished but i am seeing your point,0
30,"just seen this on facebook, thought it was a great little read.",12,1.0,0,"just seen this on facebook, thought it was a great little read.",0,just seen this on facebook thought it was a great little read,0
31,"courtney kube reporting from the pentagon on this issue: advance notice helps civilians to prepare, not just isis.",18,1.0,0,"courtney kube reporting from the pentagon on this issue: advance notice helps civilians to prepare, not just isis.",0,courtney kube reporting from the pentagon on this issue advance notice helps civilians to prepare not just isis,0
32,that is decidedly not what you've been doing. wanting to tear down a working system is unstable.,18,0.8823529411764706,0,that is decidedly not what you have been doing. wanting to tear down a working system is unstable.,0,that is decidedly not what you have been doing wanting to tear down a working system is unstable,0
33,. i'm pretty sure chris wallace got the remaining 6%.,10,1.0,0,. i am pretty sure chris wallace got the remaining 6%.,0,i am pretty sure chris wallace got the remaining 6,0
34,"even though is a disaster and my own husband (who has raped multiple women) has admitted that, i still stand for it! no change!",24,0.9583333333333334,0,"even though is a disaster and my own husband (who has raped multiple women) has admitted that, i still stand for it! no change!",0,even though is a disaster and my own husband who has raped multiple women has admitted that i still stand for it no change,0
35,"contempt for hillary...sure i despise her ,her lies and what she represents: corruption. apparently stuff you like..",18,0.9411764705882353,0,"contempt for hillary...sure i despise her ,her lies and what she represents: corruption. apparently stuff you like..",0,contempt for hillarysure i despise her her lies and what she represents corruption apparently stuff you like,0
36,how big the state of california is compared to the east coast,12,0.9166666666666666,0,how big the state of california is compared to the east coast,0,how big the state of california is compared to the east coast,0
37,"if ur skinny, pls stop saying you're fat cause you make girls with a little extra chub appear obese",20,1.0,0,"if ur skinny, pls stop saying you are fat cause you make girls with a little extra chub appear obese",2,if your skinny please stop saying you are fat cause you make girls with a little extra chub appear obese,2
38,(hint: he's lying on *every* issue. 😉),7,1.0,1,(hint: he is lying on *every* issue.  winking face ),0,hint he is lying on every issue 😉,1
39,anyways good night! loved debating w and will pray fo u🙏🏼,11,1.0,1,anyways good night! loved debating w and will pray fo u folded hands: medium-light skin tone ,1,anyways good night loved debating w and will pray f**k off u🙏🏼,2
40,i love my new hat💘,5,1.0,1,i love my new hat heart with arrow ,0,i love my new hat💘,1
41,"hillary is pedestrian and over-programmed, but never made a notable mistake across 3 debates",15,1.0,0,"hillary is pedestrian and over-programmed, but never made a notable mistake across 3 debates",0,hillary is pedestrian and overprogrammed but never made a notable mistake across 3 debates,0
42,"when we are experiencing fear, anxiety, and/or anger (so imagine all three), our ability to empathize takes a hit.",20,1.0,0,"when we are experiencing fear, anxiety, and/or anger (so imagine all three), our ability to empathize takes a hit.",0,when we are experiencing fear anxiety andor anger so imagine all three our ability to empathize takes a hit,0
43,words cannot express my excitement for on 💃💃💃 4am baby!!!,9,1.0,1,words cannot express my excitement for on  woman dancing  woman dancing  woman dancing  4am baby!!!,0,words cannot express my excitement for on 💃💃💃 4am baby,1
44,the facts are incredible too wow,6,1.0,0,the facts are incredible too wow,0,the facts are incredible too wow,0
45,just landed in ohio. thank you america- i am honored to win the final debate for our movement. it is time to…,22,0.9545454545454546,0,just landed in ohio. thank you america- i am honored to win the final debate for our movement. it is time to…,0,just landed in ohio thank you america i am honored to win the final debate for our movement it is time to…,0
46,you downloaded some weird shit... has never happened to me,10,1.0,0,you downloaded some weird shit... has never happened to me,0,you downloaded some weird shit has never happened to me,0
47,sure it does. idf ass…,5,1.0,0,sure it does. idf ass…,0,sure it does idf ass…,0
48,consumerism wants us to give up on our individuality and hate ourselves so we're constantly trying to ~be~ something they are sellin to us,25,0.8333333333333334,0,consumerism wants us to give up on our individuality and hate ourselves so we are constantly trying to ~be~ something they are sellin to us,1,consumerism wants us to give up on our individuality and hate ourselves so we are constantly trying to be something they are selling to us,1
49,"sorry, everyone. we've been wrong all this time. fact checking isn't what matters. this guy's anecdotal life exper…",21,0.9444444444444444,0,"sorry, everyone. we have been wrong all this time. fact checking is not what matters. this guy is anecdotal life exper…",0,sorry everyone we have been wrong all this time fact checking is not what matters this guy is anecdotal life exper…,0
50,unbelievable! hillary told world response time 4 launching nukes! ... by via,11,1.0,0,unbelievable! hillary told world response time 4 launching nukes! ... by via,0,unbelievable hillary told world response time 4 launching nukes by via,0
51,she handed hillary a debate question ahead of time. bernie supporters care,12,1.0,0,she handed hillary a debate question ahead of time. bernie supporters care,0,she handed hillary a debate question ahead of time bernie supporters care,0
52,"if by funeral, you mean resurrection, then yes. can't wait to see your hype video praising it",18,1.0,0,"if by funeral, you mean resurrection, then yes. can not wait to see your hype video praising it",0,if by funeral you mean resurrection then yes can not wait to see your hype video praising it,0
53,poll: who won the final presidential debate?,7,1.0,0,poll: who won the final presidential debate?,0,poll who won the final presidential debate,0
54,"therefore, have to trust they will use wisdom and judgement to come to right decisions on unknown unknowns",18,0.8333333333333334,0,"therefore, have to trust they will use wisdom and judgement to come to right decisions on unknown unknowns",0,therefore have to trust they will use wisdom and judgement to come to right decisions on unknown unknowns,0
55,you're a hard man to find when you want to be...,12,0.9090909090909091,0,you are a hard man to find when you want to be...,0,you are a hard man to find when you want to be,0
56,in honor of tonight's here is 17 year old sam ~acting~ as columbia complete with a sexy corset/sports…,20,1.0,0,in honor of tonight is here is 17 year old sam ~acting~ as columbia complete with a sexy corset/sports…,0,in honor of tonight is here is 17 year old sam acting as columbia complete with a sexy corsetsports…,0
57,this is what happens when a republican nominee can't even hold the line in traditional swing states,18,1.0,0,this is what happens when a republican nominee can not even hold the line in traditional swing states,0,this is what happens when a republican nominee can not even hold the line in traditional swing states,0
58,"*wipes tear* guess i'll be doing this for the final time.... ""is this the nx?""",16,0.8666666666666667,0,"*wipes tear* guess i will be doing this for the final time.... ""is this the nx?""",0,wipes tear guess i will be doing this for the final time is this the nx,0
59,sry i'll take allan lichtmans political science predictions over bought &amp; paid 4 network polls,16,1.0,0,sry i will take allan lichtmans political science predictions over bought & paid 4 network polls,1,sorry i will take allan lichtmans political science predictions over bought amp paid 4 network polls,1
60,initial thoughts. seems like a solid idea for a console. i wonder how much of a performance hit going mobile will be?,22,0.9090909090909091,0,initial thoughts. seems like a solid idea for a console. i wonder how much of a performance hit going mobile will be?,0,initial thoughts seems like a solid idea for a console i wonder how much of a performance hit going mobile will be,0
61,well for now they nailed it. we may come to find that there's little toads on hamster wheels for a processor and that would be 👎🏻,26,0.9230769230769231,1,well for now they nailed it. we may come to find that there is little toads on hamster wheels for a processor and that would be  thumbs down: light skin tone ,0,well for now they nailed it we may come to find that there is little toads on hamster wheels for a processor and that would be 👎🏻,1
62,"thanks for the shout out! to note we're in charleston, sc not nc (we're very proud of our hometown lol)",22,0.95,0,"thanks for the shout out! to note we are in charleston, sc not nc (we are very proud of our hometown lol)",2,thanks for the shout out to note we are in charleston sc not not cool we are very proud of our hometown laughing out loud,2
63,"blaming india lets em to feel good, and ignore horrific reality at home.",13,1.0,0,"blaming india lets em to feel good, and ignore horrific reality at home.",1,blaming india lets them to feel good and ignore horrific reality at home,1
64,how to build a sb winner. need a top 2 unit on either off or def in dvoa. neither side of roster close right now for bucs.,27,0.9629629629629629,0,how to build a sb winner. need a top 2 unit on either off or def in dvoa. neither side of roster close right now for bucs.,1,how to build a sb winner need a top 2 unit on either off or definitely in dvoa neither side of roster close right now for bucs,1
65,fancy! co-conspirator in mangano complaint allegedly paid for a massage chair for mangano &amp; limo service for vend…,19,0.8333333333333334,0,fancy! co-conspirator in mangano complaint allegedly paid for a massage chair for mangano & limo service for vend…,0,fancy coconspirator in mangano complaint allegedly paid for a massage chair for mangano amp limo service for vend…,0
66,very clear now that uk membership of single market a gateway to indyref2 in scotland. time to dynamite the bridges. they've forced our hand,25,0.9583333333333334,0,very clear now that uk membership of single market a gateway to indyref2 in scotland. time to dynamite the bridges. they have forced our hand,0,very clear now that uk membership of single market a gateway to indyref2 in scotland time to dynamite the bridges they have forced our hand,0
67,mary grace needs to stop trying to fuck the local priest,11,0.9090909090909091,0,mary grace needs to stop trying to fuck the local priest,0,mary grace needs to stop trying to fuck the local priest,0
68,it's useless to snort playdough. believe me.,8,1.0,0,it is useless to snort playdough. believe me.,0,it is useless to snort playdough believe me,0
69,throw this in the mix,5,1.0,0,throw this in the mix,0,throw this in the mix,0
70,island folks got caribbean magic in their loins.,8,1.0,0,island folks got caribbean magic in their loins.,0,island folks got caribbean magic in their loins,0
71,"but, time will tell how her 3 years affects public perception of her... and whether she even stands a chance of winning the office again.",25,0.92,0,"but, time will tell how her 3 years affects public perception of her... and whether she even stands a chance of winning the office again.",0,but time will tell how her 3 years affects public perception of her and whether she even stands a chance of winning the office again,0
72,on everything i just put my head down and walked back into the office 😂,14,1.0,1,on everything i just put my head down and walked back into the office  face with tears of joy ,0,on everything i just put my head down and walked back into the office 😂,1
73,can't wait to see who can be the first to drop the nasty woman ep. ? ? ?,16,0.875,0,can not wait to see who can be the first to drop the nasty woman ep. ? ? ?,0,can not wait to see who can be the first to drop the nasty woman ep,0
74,"ugh, my cable modem internet is out this morning &amp; now i can't find the dilbert parody i tried &amp; failed to retweet that the app recommended.",28,0.8888888888888888,0,"ugh, my cable modem internet is out this morning & now i can not find the dilbert parody i tried & failed to retweet that the app recommended.",1,ugh my cable modem internet is out this morning amp now i can not find the dilbert parody i tried amp failed to retweet that the application recommended,1
75,my fav is still commie jen,6,1.0,0,my fav is still commie jen,1,my Favorite is still commie jen,1
76,"i just saw this on tumblr, and it may be the worst thing i've ever seen.",17,0.9375,0,"i just saw this on tumblr, and it may be the worst thing i have ever seen.",0,i just saw this on tumblr and it may be the worst thing i have ever seen,0
77,would u take your child's life to save your wife's?? aren't parents suppose to protect their children.,20,0.8823529411764706,0,would u take your child is life to save your wife is?? are not parents suppose to protect their children.,1,would you take your child is life to save your wife is are not parents suppose to protect their children,1
78,i was distracted and i potted the 8 ball,9,0.8888888888888888,0,i was distracted and i potted the 8 ball,0,i was distracted and i potted the 8 ball,0
79,got offered jeremy maclin for allen robinson. ?,7,1.0,0,got offered jeremy maclin for allen robinson. ?,0,got offered jeremy maclin for allen robinson,0
80,"wikileaks drops podesta mail drip, drip, drip continues following hillary's eye-crossed disaster debate last night - bye hrc",19,0.8823529411764706,0,"wikileaks drops podesta mail drip, drip, drip continues following hillary is eye-crossed disaster debate last night - bye hrc",0,wikileaks drops podesta mail drip drip drip continues following hillary is eyecrossed disaster debate last night bye hrc,0
81,false information,2,1.0,0,false information,0,false information,0
82,"while ""nintendo switch"" is an accurate name for the product, i got accustomed to calling it ""nx"" and was okay with that being the final name",26,0.8846153846153846,0,"while ""nintendo switch"" is an accurate name for the product, i got accustomed to calling it ""nx"" and was okay with that being the final name",0,while nintendo switch is an accurate name for the product i got accustomed to calling it nx and was okay with that being the final name,0
83,it is through the mass percolation of grossly farcical eurocentric lies that allows schools to serve as surrogates of power &amp; suppression.,22,0.9545454545454546,0,it is through the mass percolation of grossly farcical eurocentric lies that allows schools to serve as surrogates of power & suppression.,0,it is through the mass percolation of grossly farcical eurocentric lies that allows schools to serve as surrogates of power amp suppression,0
84,and we're off! to phoenix then albuquerque!,8,1.0,0,and we are off! to phoenix then albuquerque!,0,and we are off to phoenix then albuquerque,0
85,it's almost like kanye just realized jay was using him and doesn't need him anymore.,17,0.9333333333333333,0,it is almost like kanye just realized jay was using him and does not need him anymore.,0,it is almost like kanye just realized jay was using him and does not need him anymore,0
86,big scary cve,3,1.0,0,big scary cve,0,big scary cve,0
87,terrified that trump will be a challenge to hillary and draw broad support from unions.,15,1.0,0,terrified that trump will be a challenge to hillary and draw broad support from unions.,0,terrified that trump will be a challenge to hillary and draw broad support from unions,0
88,"in australia... driving the coastline, reminded of the beauty found throughout the world &amp; renewing my commitment t…",18,0.8888888888888888,0,"in australia... driving the coastline, reminded of the beauty found throughout the world & renewing my commitment t…",0,in australia driving the coastline reminded of the beauty found throughout the world amp renewing my commitment t…,0
89,i want that deep inside of me.,7,1.0,0,i want that deep inside of me.,0,i want that deep inside of me,0
90,i just ate turkey :o,5,1.0,0,i just ate turkey :o,1,i just ate turkey Oh,1
91,"moderator: hillary paid $225,000 by a brazilian bank for a speech that called for “open borders.” that’s a quote!",21,0.8421052631578947,0,"moderator: hillary paid $225,000 by a brazilian bank for a speech that called for “open borders.” that’s a quote!",0,moderator hillary paid 225000 by a brazilian bank for a speech that called for “open borders” that’s a quote,0
92,"awesome! the mothers of the movement won't be around to see the effects of it in 20-30 years only we will, congrats bro",25,0.8695652173913043,0,"awesome! the mothers of the movement will not be around to see the effects of it in 20-30 years only we will, congrats bro",2,awesome the mothers of the movement will not be around to see the effects of it in 2030 years only we will congratulations brother,2
93,we build apps remotely!our portfolio ☞ let’s talk :) email to ☞ leads.com ☎ (212) 209 1537,16,0.9375,1,we build apps remotely!our portfolio ☞ let’s talk :) email to ☞ leads.com  telephone  (212) 209 1537,0,we build apps remotelyour portfolio ☞ let’s talk email to ☞ leadscom ☎ 212 209 1537,1
94,want access to crooked hillary? don't forget - it's going to cost you!,14,0.9166666666666666,0,want access to crooked hillary? do not forget - it is going to cost you!,0,want access to crooked hillary do not forget it is going to cost you,0
95,to livestream my concert tonight or to not livestream my concert tonight?,12,0.5833333333333334,0,to livestream my concert tonight or to not livestream my concert tonight?,0,to livestream my concert tonight or to not livestream my concert tonight,0
96,i feel like it did make an impact. just might not be enough for this election (unless some really juicy stuff gets leaked),23,1.0,0,i feel like it did make an impact. just might not be enough for this election (unless some really juicy stuff gets leaked),0,i feel like it did make an impact just might not be enough for this election unless some really juicy stuff gets leaked,0
97,obama says his departure may fix what ails obamacare,9,1.0,0,obama says his departure may fix what ails obamacare,0,obama says his departure may fix what ails obamacare,0
98,how do you find that on properties?,7,1.0,0,how do you find that on properties?,0,how do you find that on properties,0
99,does this work?,3,1.0,0,does this work?,0,does this work,0
100,if you compare apples to apples it looks like this:,10,0.9,0,if you compare apples to apples it looks like this:,0,if you compare apples to apples it looks like this,0
101,"today i'm starting a new job at . it wouldn't be a new job without a blog post, would it? ✍️",21,0.75,1,"today i am starting a new job at . it would not be a new job without a blog post, would it?  writing hand ",1,today i am starting a new job at it would not be a new job without a web log post would it ✍️,2
102,i can't make any sense of it. are there similar examples out there to compare this theory to?,19,0.8888888888888888,0,i can not make any sense of it. are there similar examples out there to compare this theory to?,0,i can not make any sense of it are there similar examples out there to compare this theory to,0
103,yes finally i can say it yes.,7,0.8571428571428571,0,yes finally i can say it yes.,0,yes finally i can say it yes,0
104,7th &amp; bryant was closed until a few min ago due to a suspicious pkg. hoy! jamba's open now.,20,0.9473684210526315,0,7th & bryant was closed until a few min ago due to a suspicious pkg. hoy! jamba is open now.,1,7th amp bryant was closed until a few minute ago due to a suspicious pkg hoy jamba is open now,1
105,"i only rate as a ""mauvais homme,"" which doesn't sound dastardly enough.",13,1.0,0,"i only rate as a ""mauvais homme,"" which does not sound dastardly enough.",0,i only rate as a mauvais homme which does not sound dastardly enough,0
106,this is as close as the news media is allowed to get to the scene of a fatal fire northeast of weeping water in rur…,25,0.8,0,this is as close as the news media is allowed to get to the scene of a fatal fire northeast of weeping water in rur…,0,this is as close as the news media is allowed to get to the scene of a fatal fire northeast of weeping water in rur…,0
107,megyn kelly grills dnc chair on sharing town hall question with clinton camp,13,1.0,0,megyn kelly grills dnc chair on sharing town hall question with clinton camp,0,megyn kelly grills dnc chair on sharing town hall question with clinton camp,0
108,who won the debate ?,4,1.0,0,who won the debate ?,0,who won the debate,0
109,a child in pakistan polishes shoes to earn a living pic via,12,0.9166666666666666,0,a child in pakistan polishes shoes to earn a living pic via,1,a child in pakistan polishes shoes to earn a living picture via,1
110,“please don't interrupt the script.” – living life according to the scriptures 🙏🏽,12,0.9230769230769231,1,“please do not interrupt the script.” – living life according to the scriptures  folded hands: medium skin tone ,0,“please do not interrupt the script” – living life according to the scriptures 🙏🏽,1
111,"(with subscription support plans 😉). but yeah, that's great. would love more payg in b2c. everyone chasing that recurring revenue.",20,1.0,1,"(with subscription support plans  winking face ). but yeah, that is great. would love more payg in b2c. everyone chasing that recurring revenue.",0,with subscription support plans 😉 but yeah that is great would love more payg in b2c everyone chasing that recurring revenue,1
112,about to go home and make something in my new crock pot because i'm a fucking adult.,18,1.0,0,about to go home and make something in my new crock pot because i am a fucking adult.,0,about to go home and make something in my new crock pot because i am a fucking adult,0
113,total bs article my 400 meter times always slower after cigars many cancers associated w/ cigars,16,0.9375,0,total bs article my 400 meter times always slower after cigars many cancers associated w/ cigars,1,total bulls**t article my 400 meter times always slower after cigars many cancers associated w cigars,1
114,approved repub. nominees for scotus.,5,1.0,0,approved repub. nominees for scotus.,0,approved repub nominees for scotus,0
115,i'm no longer replying lol,6,1.0,0,i am no longer replying lol,1,i am no longer replying laughing out loud,1
116,china along with north korea will easily dominate the area and will sink japan &amp; south korea in a minute,20,0.9,0,china along with north korea will easily dominate the area and will sink japan & south korea in a minute,0,china along with north korea will easily dominate the area and will sink japan amp south korea in a minute,0
117,"i hate when people think i'm playing hard to get, i'm not playing hard to get i just don't like you lol",25,0.7272727272727273,0,"i hate when people think i am playing hard to get, i am not playing hard to get i just do not like you lol",1,i hate when people think i am playing hard to get i am not playing hard to get i just do not like you laughing out loud,1
118,why christian leader jerry falwell jr is standing by trump. in his own words:,14,1.0,0,why christian leader jerry falwell jr is standing by trump. in his own words:,0,why christian leader jerry falwell jr is standing by trump in his own words,0
119,"doesn't matter how much autonomous tech they develop, they won't own the means of manufacturing the cars",19,0.8823529411764706,0,"does not matter how much autonomous tech they develop, they will not own the means of manufacturing the cars",0,does not matter how much autonomous tech they develop they will not own the means of manufacturing the cars,0
120,killing it on with she has solid thoughts and does her best to keep it balanced. the best fox has right now,22,0.8636363636363636,0,killing it on with she has solid thoughts and does her best to keep it balanced. the best fox has right now,0,killing it on with she has solid thoughts and does her best to keep it balanced the best fox has right now,0
121,hillary and donald seem to be getting along. chatting away with a cardinal dolan dmz at the al smith dinner.…,20,1.0,0,hillary and donald seem to be getting along. chatting away with a cardinal dolan dmz at the al smith dinner.…,0,hillary and donald seem to be getting along chatting away with a cardinal dolan dmz at the al smith dinner…,0
122,its dissapointing when the promotion has been so great &amp; the core game is a step up,17,0.8823529411764706,0,its dissapointing when the promotion has been so great & the core game is a step up,0,its dissapointing when the promotion has been so great amp the core game is a step up,0
123,fundamental difference between trump wealth &amp; clinton wealth. trump created value to get rich. hillary sold access and favors to make $!,21,0.8636363636363636,0,fundamental difference between trump wealth & clinton wealth. trump created value to get rich. hillary sold access and favors to make $!,0,fundamental difference between trump wealth amp clinton wealth trump created value to get rich hillary sold access and favors to make,0
124,"so my flight was cancelled, and because booked me on ana for my connection i'm stranded in tokyo without hotel.",21,0.95,0,"so my flight was cancelled, and because booked me on ana for my connection i am stranded in tokyo without hotel.",0,so my flight was cancelled and because booked me on ana for my connection i am stranded in tokyo without hotel,0
125,shoutouts to and and you guys are the current generation. keep playing and keep winning,15,0.8,0,shoutouts to and and you guys are the current generation. keep playing and keep winning,0,shoutouts to and and you guys are the current generation keep playing and keep winning,0
126,there's a medium of picking and choosing the things that are most entertaining for your characters,17,1.0,0,there is a medium of picking and choosing the things that are most entertaining for your characters,0,there is a medium of picking and choosing the things that are most entertaining for your characters,0
127,who's been to clyde fraziers?,6,1.0,0,who is been to clyde fraziers?,0,who is been to clyde fraziers,0
128,a tortured life.,3,1.0,0,a tortured life.,0,a tortured life,0
129,improvisation 27 (garden of love ii) by wassily wassilyevich kandinsky (1812),11,1.0,0,improvisation 27 (garden of love ii) by wassily wassilyevich kandinsky (1812),0,improvisation 27 garden of love ii by wassily wassilyevich kandinsky 1812,0
130,no you said i am a muslim without knowing it so you might think hillary is a muslim too right,20,0.8,0,no you said i am a muslim without knowing it so you might think hillary is a muslim too right,0,no you said i am a muslim without knowing it so you might think hillary is a muslim too right,0
131,"prophet muhammad freed the slaves, gave women their rights, condemned racism, and forgave ppl who harmed him and other muslims",20,0.95,0,"prophet muhammad freed the slaves, gave women their rights, condemned racism, and forgave ppl who harmed him and other muslims",1,prophet muhammad freed the slaves gave women their rights condemned racism and forgave people who harmed him and other muslims,1
132,he was safe and you know it,7,1.0,0,he was safe and you know it,0,he was safe and you know it,0
133,"quit showing off, vereen. -ma",5,1.0,0,"quit showing off, vereen. -ma",0,quit showing off vereen ma,0
134,"let's help all... except the unborn, the elderly, those who disagree with me., etc.",15,0.9285714285714286,0,"let is help all... except the unborn, the elderly, those who disagree with me., etc.",0,let is help all except the unborn the elderly those who disagree with me etc,0
135,i have been on twitter for 2 years now and i thank all of my friends and followers who have stayed with me :),23,0.875,0,i have been on twitter for 2 years now and i thank all of my friends and followers who have stayed with me :),0,i have been on twitter for 2 years now and i thank all of my friends and followers who have stayed with me,0
136,"so, can i send you my measurements? (i don't wear lbds.) 😉",12,0.9166666666666666,1,"so, can i send you my measurements? (i do not wear lbds.)  winking face ",0,so can i send you my measurements i do not wear lbds 😉,1
137,"there is no us election. there is power consolidation. rigged primary, rigged media and rigged 'pied piper' candidate drive consolidaiton.",20,0.8,0,"there is no us election. there is power consolidation. rigged primary, rigged media and rigged 'pied piper' candidate drive consolidaiton.",0,there is no us election there is power consolidation rigged primary rigged media and rigged pied piper candidate drive consolidaiton,0
138,watch hillary clinton's full remarks at the al smith charity dinner,12,1.0,0,watch hillary clinton is full remarks at the al smith charity dinner,0,watch hillary clinton is full remarks at the al smith charity dinner,0
